,precision,recall,f1-score,support
FAKE,0.92,0.88,0.9,628.0
REAL,0.89,0.92,0.9,639.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9,0.9,0.9,1267.0
weighted avg,0.9,0.9,0.9,1267.0
